Date, Adj. Close
1982-08-18,5.770757525169756e-06
1982-08-19,5.976856300549116e-06
1982-08-20,6.306611794570927e-06
1982-08-23,6.286003554123454e-06
1982-08-24,6.347835551423486e-06
1982-08-25,6.471493179560639e-06
1982-08-26,6.574547114723828e-06
1982-08-27,6.595153081434546e-06
1982-08-30,6.553932962560793e-06
1982-08-31,6.615764050366124e-06
1982-09-01,6.595153081434546e-06
1982-09-02,6.595153081434546e-06
1982-09-03,6.677589681203244e-06
1982-09-07,6.760030828445451e-06
1982-09-08,6.863083399366587e-06
1982-09-09,7.069182629493298e-06
1982-09-10,7.048572570056422e-06
1982-09-13,7.275279131135903e-06
1982-09-14,7.419542271236423e-06
1982-09-15,7.316500159504358e-06
1982-09-16,7.089793598424876e-06
1982-09-17,7.069182629493298e-06
1982-09-20,7.048572570056422e-06
1982-09-21,7.563813142041909e-06
1982-09-22,7.625646503583994e-06
1982-09-23,7.419542271236423e-06
1982-09-24,7.4813797255046666e-06
1982-09-27,7.625646503583994e-06
1982-09-28,7.769919648126233e-06
1982-09-29,7.625646503583994e-06
1982-09-30,7.666866622457746e-06
1982-10-01,7.646258382010274e-06
1982-10-04,7.295886462088674e-06
1982-10-05,7.089793598424876e-06
1982-10-06,7.131005077098962e-06
1982-10-07,7.5844291131943464e-06
1982-10-08,7.955402907100506e-06
1982-10-11,7.976013876032084e-06
1982-10-12,7.89357454777928e-06
1982-10-13,8.017233085411135e-06
1982-10-14,7.852352609916124e-06
1982-10-15,7.749303222226445e-06
1982-10-18,7.91418096923735e-06
1982-10-19,7.5844291131943464e-06
1982-10-20,7.501985692215385e-06
1982-10-21,7.666866622457746e-06
1982-10-22,7.687476681894623e-06
1982-10-25,7.666866622457746e-06
1982-10-26,7.79052970756311e-06
1982-10-27,7.852352609916124e-06
1982-10-28,7.852352609916124e-06
1982-10-29,7.749303222226445e-06
1982-11-01,7.749303222226445e-06
1982-11-02,7.955402907100506e-06
1982-11-03,8.243945558206178e-06
1982-11-04,8.285163858090527e-06
1982-11-05,8.326376701006666e-06
1982-11-08,8.388207788811997e-06
1982-11-09,8.450040695606731e-06
1982-11-10,8.882849215297028e-06
1982-11-11,8.47065257403301e-06
1982-11-12,7.996626663953066e-06
1982-11-15,7.666866622457746e-06
1982-11-16,7.398935849778354e-06
1982-11-17,7.543204901594436e-06
1982-11-18,7.5844291131943464e-06
1982-11-19,7.708084012847394e-06
1982-11-22,7.687476681894623e-06
1982-11-23,7.728698619757779e-06
1982-11-24,7.831740731489845e-06
1982-11-26,8.058453204284888e-06
1982-11-29,8.161507139448076e-06
1982-11-30,8.594304745201953e-06
1982-12-01,8.779797099123243e-06
1982-12-02,8.779797099123243e-06
1982-12-03,8.800414434517734e-06
1982-12-06,8.985897693492007e-06
1982-12-07,9.109555321629159e-06
1982-12-08,9.130166290560737e-06
1982-12-09,8.862234608386643e-06
1982-12-10,8.821016308502294e-06
1982-12-13,8.656141289975494e-06
1982-12-14,8.532478204870131e-06
1982-12-15,8.079069630184676e-06
1982-12-16,7.934791938168928e-06
1982-12-17,8.120281563606113e-06
1982-12-20,7.996626663953066e-06
1982-12-21,7.976013876032084e-06
1982-12-22,8.017233085411135e-06
1982-12-23,8.223337317758705e-06
1982-12-27,8.099670594674535e-06
1982-12-28,7.89357454777928e-06
1982-12-29,7.831740731489845e-06
1982-12-30,7.769919648126233e-06
1982-12-31,7.44015778764151e-06
1983-01-03,7.254668162204325e-06
1983-01-04,7.1928407123778015e-06
1983-01-05,7.089793598424876e-06
1983-01-06,7.625646503583994e-06
1983-01-07,7.007353360677371e-06
1983-01-10,6.512712843687041e-06
1983-01-11,6.3890533965604845e-06
1983-01-12,6.8836902755720075e-06
1983-01-13,7.089793598424876e-06
1983-01-14,7.254668162204325e-06
1983-01-17,6.8836902755720075e-06
1983-01-18,6.760030828445451e-06
1983-01-19,6.842471975687658e-06
1983-01-20,7.131005077098962e-06
1983-01-21,7.048572570056422e-06
1983-01-24,6.842471975687658e-06
1983-01-25,6.842471975687658e-06
1983-01-26,6.760030828445451e-06
1983-01-27,6.595153081434546e-06
1983-01-28,6.595153081434546e-06
1983-01-31,6.595153081434546e-06
1983-02-01,6.553932962560793e-06
1983-02-02,6.3890533965604845e-06
1983-02-03,6.430277608160395e-06
1983-02-04,6.6363741098030005e-06
1983-02-07,6.595153081434546e-06
1983-02-08,6.471493179560639e-06
1983-02-09,6.6363741098030005e-06
1983-02-10,6.677589681203244e-06
1983-02-11,7.089793598424876e-06
1983-02-14,7.501985692215385e-06
1983-02-15,7.5844291131943464e-06
1983-02-16,7.4607687565730885e-06
1983-02-17,7.625646503583994e-06
1983-02-18,7.625646503583994e-06
1983-02-22,7.4607687565730885e-06
1983-02-23,7.543204901594436e-06
1983-02-24,6.306611794570927e-06
1983-02-25,5.6058793234115e-06
1983-02-28,5.8944165175489616e-06
1983-03-01,5.811979008285562e-06
1983-03-02,5.647101261274656e-06
1983-03-03,5.482222604769049e-06
1983-03-04,5.358560429158388e-06
1983-03-07,5.276124738884391e-06
1983-03-08,5.152463927515782e-06
1983-03-09,5.276124738884391e-06
1983-03-10,5.399781912274193e-06
1983-03-11,5.358560429158388e-06
1983-03-14,5.317339855537284e-06
1983-03-15,5.317339855537284e-06
1983-03-16,5.317339855537284e-06
1983-03-17,5.276124738884391e-06
1983-03-18,5.152463927515782e-06
1983-03-21,5.234907348494744e-06
1983-03-22,5.276124738884391e-06
1983-03-23,5.358560429158388e-06
1983-03-24,5.234907348494744e-06
1983-03-25,5.317339855537284e-06
1983-03-28,5.276124738884391e-06
1983-03-29,5.317339855537284e-06
1983-03-30,5.358560429158388e-06
1983-03-31,5.5234399951586965e-06
1983-04-04,5.5234399951586965e-06
1983-04-05,5.5234399951586965e-06
1983-04-06,5.440997483674437e-06
1983-04-07,5.482222604769049e-06
1983-04-08,5.399781912274193e-06
1983-04-11,5.358560429158388e-06
1983-04-12,5.358560429158388e-06
1983-04-13,5.358560429158388e-06
1983-04-14,5.358560429158388e-06
1983-04-15,5.564660114032449e-06
1983-04-18,5.564660114032449e-06
1983-04-19,5.5234399951586965e-06
1983-04-20,5.564660114032449e-06
1983-04-21,5.6058793234115e-06
1983-04-22,5.8944165175489616e-06
1983-04-25,6.10051984040183e-06
1983-04-26,6.718813892803155e-06
1983-04-27,6.595153081434546e-06
1983-04-28,6.3890533965604845e-06
1983-04-29,6.553932962560793e-06
1983-05-02,6.595153081434546e-06
1983-05-03,6.430277608160395e-06
1983-05-04,6.471493179560639e-06
1983-05-05,6.471493179560639e-06
1983-05-06,6.430277608160395e-06
1983-05-09,6.471493179560639e-06
1983-05-10,6.3890533965604845e-06
